,SwissProt1,SwissProt2
171462,P22314,P49459
171516,P00441,P49588
171649,P35637,P49590
171673,P00441,P49591
171827,P04156,P49639
171836,P28799,P49639
171837,P28799,P49639
171838,P28799,P49639
171839,P28799,P49639
171840,P28799,P49639
171965,Q9UGJ0,P49643
171983,P49768,P49662
171989,Q14203,P49662
172075,Q5S007,P49674
172312,P00441,P49716
172342,P37231,P49716
172422,O60260,P49720
172606,O60260,P49721
172822,P20226,P49736
173151,P49768,P49755
173154,P55072,P49755
173261,Q6ZW49,P49756
173472,O43464,P49768
173493,P10636,P49768
173533,P49768,P49768
173534,P49768,P49768
173535,P49768,P49768
173536,P49768,P49768
173638,P55072,P49770
173695,P00441,P49773
173817,Q5S007,P49790
173845,O60260,P49792
173846,O60260,P49792
173847,O60260,P49792
173860,P04626,P49792
173867,P21675,P49792
173918,Q5S007,P49792
173952,Q9UGJ0,P49792
173985,O60260,P49796
174090,P49768,P49810
174220,O43464,P49821
174235,P42858,P49821
174378,P10636,P49841
174438,P35637,P49841
174440,P37840,P49841
174441,P37840,P49841
174449,P49768,P49841
174450,P49768,P49841
174451,P49768,P49841
174516,Q16637,P49841
174521,Q5S007,P49841
174522,Q5S007,P49841
174633,P20226,P49848
174634,P20226,P49848
174635,P20226,P49848
174636,P20226,P49848
174637,P20226,P49848
174638,P20226,P49848
174639,P21675,P49848
174640,P21675,P49848
174953,Q9UGJ0,P49915
174954,Q9UGJ0,P49915
174955,Q9UGJ0,P49915
175018,P21675,P49917
175058,P43354,P49918
175127,P42858,P49959
175149,P55072,P49959
175195,Q6ZW49,P49959
175469,P55072,P50213
175530,Q9UGJ0,P50213
175545,O60260,P50221
175568,O60260,P50222
175786,Q5S007,P50402
175787,Q6ZW49,P50402
175838,O60260,P50416
175949,P37231,P50454
176069,P35637,P50502
176072,P49768,P50502
176073,P49768,P50502
176079,P55072,P50502
176113,Q9UGJ0,P50502
176223,Q6ZW49,P50548
176381,P04626,P50570
176664,P04626,P50616
176679,Q13148,P50616
176789,P28799,P50750
176838,Q6ZW49,P50750
176964,P35637,P50914
177001,Q13148,P50914
177067,Q9UGJ0,P50914
177157,P35637,P50990
177167,P42858,P50990
177190,P55072,P50990
177376,Q9UGJ0,P50990
177491,P35637,P50991
177495,P37840,P50991
177520,P55072,P50991
177567,Q04656,P50991
177669,Q99497,P50991
177714,Q9UGJ0,P50991
177769,Q9UGJ0,P50993
177873,Q6Y7W6,P51114
178170,P35637,P51149
178180,P55072,P51149
178216,Q9NQ11,P51149
178248,Q9NQ11,P51151
178376,Q6ZW49,P51178
178384,O60260,P51398
178397,P55072,P51398
178410,Q13148,P51398
178466,P04626,P51451
178467,P04626,P51451
178575,P20226,P51531
178591,P43354,P51531
178769,P37231,P51532
178770,P37231,P51532
178779,P43354,P51532
178981,P00441,P51571
179045,Q5S007,P51571
179127,P42858,P51572
179201,P51587,P51587
179202,P51587,P51587
179259,P37231,P51608
179658,P37840,P51659
179714,Q9UGJ0,P51659
179752,O60260,P51665
180007,P22314,P51668
180174,P37231,P51671
180192,P42858,P51674
180470,P04156,P51693
180495,P37840,P51693
180496,P37840,P51693
180497,P37840,P51693
180532,Q16637,P51693
180533,Q16637,P51693
180534,Q16637,P51693
180585,P51587,P51784
180737,Q16637,P51805
180738,Q16637,P51805
180774,P21675,P51809
180814,P10636,P51812
180869,P04626,P51813
180870,P04626,P51813
180902,P43354,P51814
180971,P37231,P51843
180989,O60260,P51858
181196,P55072,P51955
181205,Q14203,P51955
181292,O60260,P51965
181305,P22314,P51965
181371,P42858,P51970
181387,O60260,P51991
181423,P35637,P51991
181446,Q13148,P51991
181592,Q9UGJ0,P52209
181611,O60260,P52272
181718,Q13148,P52272
181798,Q9UGJ0,P52272
181887,P35637,P52292
181949,Q13148,P52292
182037,Q9UGJ0,P52292
182440,Q14203,P52564
182441,Q14203,P52564
182442,Q14203,P52564
182450,Q5S007,P52564
182501,P35637,P52565
182586,Q99497,P52565
182662,O60260,P52597
182725,P35637,P52597
182863,Q9UGJ0,P52597
182969,P20226,P52655
182970,P20226,P52655
182974,P21675,P52655
182975,P21675,P52655
182991,Q13867,P52655
183015,P20226,P52657
183016,P20226,P52657
183017,P20226,P52657
183018,P20226,P52657
183019,P20226,P52657
183020,P20226,P52657
183021,P20226,P52657
183172,Q9UGJ0,P52701
183194,P37231,P52732
183204,Q14203,P52732
183205,Q14203,P52732
183222,Q9BXM7,P52732
183242,P04626,P52735
183243,P04626,P52735
183244,P04626,P52735
183498,O60260,P52789
183539,P28799,P52790
183540,P28799,P52790
183574,P49768,P52799
183598,O60260,P52815
183650,Q13148,P52815
183805,Q5S007,P52907
183806,Q5S007,P52907
183810,Q6ZW49,P52907
183837,Q9UGJ0,P52907
183883,Q16637,P52943
183884,Q16637,P52943
184027,O60260,P53007
184035,P04626,P53007
184064,Q5S007,P53007
184118,P10636,P53041
184245,P21675,P53350
184246,P21675,P53350
184273,P51587,P53350
184279,P55072,P53350
184323,Q5S007,P53350
184435,Q5S007,P53355
184558,P37840,P53396
184588,Q5S007,P53396
184603,Q99497,P53396
184621,Q9UGJ0,P53396
184670,P20226,P53567
184785,Q99497,P53597
184906,P19404,P53611
185016,P42858,P53618
185133,Q9UGJ0,P53618
185261,P55072,P53621
185367,Q9UGJ0,P53621
185394,O60260,P53667
185566,Q9UGJ0,P53675
185871,Q9UQN3,P53990
185981,Q9Y3I1,P53992
185994,P21675,P53999
186080,Q5S007,P54105
186140,Q6ZW49,P54132
186220,Q9UGJ0,P54136
186273,O60260,P54252
186427,P55072,P54253
186428,P55072,P54253
186595,P20226,P54257
186596,P20226,P54257
186600,P42858,P54257
186601,P42858,P54257
186602,P42858,P54257
186651,Q14203,P54257
186652,Q14203,P54257
186745,P28799,P54259
186783,Q6Y7W6,P54259
186931,P42858,P54289
186995,Q99497,P54577
187050,P42858,P54578
187079,P55072,P54578
187143,Q9UGJ0,P54578
187174,P55072,P54619
187191,Q9UGJ0,P54619
187192,Q9UGJ0,P54619
187223,P37231,P54646
187303,O60260,P54652
187440,Q6ZW49,P54709
187460,O60260,P54725
187463,P01023,P54725
187464,P01023,P54725
187483,P49768,P54725
187546,O60260,P54727
187571,P20226,P54727
187614,P55072,P54727
187615,P55072,P54727
187616,P55072,P54727
187643,Q14203,P54727
187763,O95292,P54764
187824,P00441,P54819
187998,P55072,P54886
188032,Q9UGJ0,P54886
188099,P55072,P54920
188271,Q9UGJ0,P55010
188328,O60260,P55036
188432,P42858,P55036
188491,P55072,P55036
188615,Q9UGJ0,P55036
188870,P35637,P55060
188920,Q5S007,P55060
188921,Q5S007,P55060
189015,O60260,P55072
189043,O95292,P55072
189044,O95292,P55072
189079,P10636,P55072
189141,P35637,P55072
189149,P42858,P55072
189177,P55072,P55072
189178,P55072,P55072
189179,P55072,P55072
189180,P55072,P55072
189181,P55072,P55072
189182,P55072,P55072
189183,P55072,P55072
189184,P55072,P55072
189185,P55072,P55072
189186,P55072,P55072
189187,P55072,P55072
189338,Q99497,P55072
189496,O60260,P55084
189564,Q16637,P55084
189565,Q16637,P55084
189599,Q9UGJ0,P55084
189634,Q9HBA0,P55087
189683,O60260,P55196
189684,O60260,P55196
189891,P00441,P55209
189913,P20226,P55209
189914,P20226,P55209
189915,P20226,P55209
189916,P20226,P55209
189941,P35637,P55209
190122,Q9UGJ0,P55209
190182,P49768,P55210
190185,P55072,P55210
190205,Q14203,P55210
190263,P55072,P55211
190383,Q13148,P55265
190448,P35637,P55283
190472,P42858,P55290
190564,P42858,P55345
190626,P35637,P55735
190728,P00441,P55769
190867,P00441,P55786
190882,P22314,P55786
190948,Q9UGJ0,P55786
190987,P04626,P55795
191011,P55072,P55795
191112,P49768,P55809
191127,Q9UGJ0,P55809
191146,P00441,P55854
191230,Q16637,P55854
191231,Q16637,P55854
191232,Q16637,P55854
191394,Q13148,P55884
191453,Q9UGJ0,P55884
191517,P55072,P55957
191561,O60260,P56134
191628,P19404,P56181
191754,Q9UGJ0,P56192
191786,P37840,P56211
191997,P37231,P56524
192128,P09936,P56537
192159,P35637,P56537
192327,Q9UGJ0,P56537
192683,P49768,P56817
192935,O60260,P57075
192936,O60260,P57075
193024,P37231,P57086
193064,P04626,P57088
193085,P55072,P57088
193187,Q6Y7W6,P57678
193362,P55072,P57740
193375,Q5S007,P57740
193409,P01023,P57775
193426,P55072,P58004
193458,P55072,P58107
193579,P01023,P58397
193683,P55072,P58872
193765,Q6ZW49,P59797
193877,Q5S007,P59998
193878,Q5S007,P59998
194080,Q13148,P60174
194130,P42858,P60201
194131,P42858,P60201
194721,P28799,P60409
194722,P28799,P60409
195416,Q9NQ11,P60468
195417,Q9NQ11,P60468
195429,P03950,P60484
195430,P03950,P60484
195559,P55072,P60510
195596,Q16637,P60510
195750,P01023,P60568
195784,O60260,P60604
195821,P22314,P60604
195844,P55072,P60604
196057,Q5S007,P60660
196058,Q5S007,P60660
196059,Q5S007,P60660
196127,O60260,P60709
196128,O60260,P60709
196149,P01023,P60709
196150,P01023,P60709
196165,P04626,P60709
196166,P04626,P60709
196197,P12821,P60709
196270,P35637,P60709
196275,P37840,P60709
196317,P55072,P60709
196422,Q16637,P60709
196423,Q16637,P60709
196424,Q16637,P60709
196430,Q5S007,P60709
196431,Q5S007,P60709
196502,Q96QT4,P60709
196503,Q96QT4,P60709
196557,Q9UGJ0,P60709
196582,O60260,P60763
196647,P35637,P60842
196732,Q9UGJ0,P60842
196747,O60260,P60866
196861,Q13148,P60866
196891,Q6ZW49,P60866
196916,Q99497,P60866
196997,P37840,P60880
196998,P42858,P60880
196999,P42858,P60880
197057,O60260,P60891
197109,P51587,P60896
197110,P51587,P60896
197111,P51587,P60896
197112,P51587,P60896
197141,O60260,P60900
197166,P22314,P60900
197264,Q6ZW49,P60900
197439,P49768,P60953
197454,P55072,P60953
197871,P00441,P61020
197932,Q5S007,P61020
197950,Q99497,P61020
198069,P55072,P61026
198178,Q9NQ11,P61073
198179,Q9NQ11,P61073
198192,O60260,P61077
198210,P22314,P61077
198354,P55072,P61081
198355,P55072,P61081
198425,P22314,P61086
198435,P42858,P61086
198436,P42858,P61086
198440,P55072,P61086
198503,O60260,P61088
198546,P22314,P61088
198696,P55072,P61106
198770,P37840,P61158
198833,Q5S007,P61158
198834,Q5S007,P61158
198864,Q9UGJ0,P61158
198937,P37840,P61160
199002,Q5S007,P61160
199003,Q5S007,P61160
199031,Q9UGJ0,P61160
199075,Q14203,P61163
199076,Q14203,P61163
199077,Q14203,P61163
199105,Q9UGJ0,P61163
199325,Q92673,P61218
199377,O60260,P61221
199434,Q5S007,P61221
199459,Q9UGJ0,P61221
199600,P21675,P61244
199761,P55072,P61247
199805,Q13148,P61247
199814,Q5S007,P61247
199937,Q13148,P61254
199956,Q99497,P61254
199972,O95292,P61266
199976,P42858,P61266
199977,P42858,P61266
200003,O60260,P61289
200241,Q13148,P61313
200470,Q99497,P61353
200535,P01023,P61421
200955,Q5S007,P61586
200956,Q5S007,P61586
201137,P55072,P61604
201177,Q9UGJ0,P61604
201200,P04626,P61619
201302,P35637,P61626
201384,P55072,P61758
201480,P10636,P61764
201493,P42858,P61764
201494,P42858,P61764
201532,Q5S007,P61764
201588,P55072,P61769
201601,Q30201,P61769
201625,P01023,P61812
201653,P19404,P61916
201659,Q6ZW49,P61916
201822,P55072,P61956
201960,P55072,P61962
202012,Q9NQ11,P61962
202013,Q9NQ11,P61962
202114,Q5S007,P61964
202120,Q6ZW49,P61964
202248,P37231,P61968
202381,O60260,P61978
202474,P35637,P61978
202631,Q99497,P61978
202670,Q9UGJ0,P61978
202837,P42858,P61981
202838,P42858,P61981
202866,P55072,P61981
203044,Q99497,P61981
203333,Q13148,P62081
203351,Q5S007,P62081
203501,P10636,P62136
203572,P55072,P62136
203573,P55072,P62136
203674,Q92673,P62136
203828,Q5S007,P62140
203984,P37840,P62158
203985,P37840,P62158
204081,Q5S007,P62158
204119,Q9HBA0,P62158
204215,O60260,P62191
204252,P20226,P62191
204341,P55072,P62191
204425,Q9UGJ0,P62191
204477,O60260,P62195
204548,P20226,P62195
204549,P20226,P62195
204603,P42858,P62195
204811,Q9UGJ0,P62195
204839,O60260,P62241
204840,O60260,P62241
204841,O60260,P62241
204842,O60260,P62241
204843,O60260,P62241
204844,O60260,P62241
204909,P35637,P62241
204912,P37840,P62241
204940,P55072,P62241
205033,Q5S007,P62241
205034,Q5S007,P62241
205096,Q9UGJ0,P62241
205260,Q5S007,P62244
205311,Q9UGJ0,P62244
205335,O60260,P62249
205462,Q13148,P62249
205480,Q5S007,P62249
205532,Q9UGJ0,P62249
205546,O60260,P62253
205547,O60260,P62253
205548,O60260,P62253
205551,P22314,P62253
205583,P22314,P62256
205666,O60260,P62258
205759,P20226,P62258
205854,P55072,P62258
205948,Q5S007,P62258
206081,O60260,P62263
206120,P35637,P62263
206122,P37840,P62263
206179,Q13148,P62263
206205,Q5S007,P62263
206322,P37840,P62266
206386,Q13148,P62266
206444,Q9UGJ0,P62266
206528,Q13148,P62269
206554,Q5S007,P62269
206606,Q9UGJ0,P62269
206657,Q9UGJ0,P62273
206752,P55072,P62277
206949,P37840,P62280
206961,P55072,P62280
207001,Q13148,P62280
207116,Q16637,P62304
207117,Q16637,P62304
207118,Q16637,P62304
207227,Q16637,P62306
207228,Q16637,P62306
207229,Q16637,P62306
207301,Q16637,P62308
207302,Q16637,P62308
207303,Q16637,P62308
207435,Q13148,P62312
207438,Q16637,P62312
207583,Q16637,P62314
207584,Q16637,P62314
207649,Q9UGJ0,P62314
207729,P35637,P62316
207792,Q16637,P62316
207793,Q16637,P62316
207990,Q16637,P62318
207999,Q6ZW49,P62318
208131,Q16637,P62328
208132,Q16637,P62328
208231,P55072,P62330
208250,Q13148,P62330
208255,Q14203,P62330
208357,O60260,P62333
208553,Q5S007,P62333
208580,Q9BXM7,P62333
208587,Q9UGJ0,P62333
208622,P35637,P62380
208650,O60260,P62424
208759,Q13148,P62424
209016,P49768,P62491
209017,P49768,P62491
209164,Q99497,P62495
209187,O60260,P62508
209264,P55072,P62633
209416,P55072,P62701
209468,Q13148,P62701
209552,Q9UGJ0,P62701
209582,P04626,P62714
209589,P10636,P62714
209610,P55072,P62714
209666,O60260,P62736
209725,Q5S007,P62736
209754,Q9UGJ0,P62736
209809,O60260,P62750
209873,Q13148,P62750
209953,O60260,P62753
210055,P55072,P62753
210124,Q13148,P62753
210249,O60260,P62805
210301,P21675,P62805
210302,P21675,P62805
210303,P21675,P62805
210326,P35637,P62805
210426,Q16637,P62805
210837,P35637,P62826
211057,P55072,P62829
211090,Q13148,P62829
211107,Q5S007,P62829
211108,Q5S007,P62829
211139,Q99497,P62829
211173,Q9UGJ0,P62829
211310,O60260,P62837
211337,P22314,P62837
211338,P22314,P62837
211354,P37840,P62837
211754,Q13148,P62847
211859,O60260,P62851
211910,P55072,P62851
211962,Q13148,P62851
211994,Q99497,P62851
212276,P04626,P62873
212297,P37840,P62873
212300,P42858,P62873
212667,P04626,P62879
212680,P20226,P62879
212691,P42858,P62879
212815,P55072,P62888
212882,Q5S007,P62888
212940,Q9UGJ0,P62888
212956,Q5S007,P62891
213051,Q13148,P62899
213180,Q13148,P62906
213265,P55072,P62910
213282,Q13148,P62910
213378,P35637,P62913
213380,P37840,P62913
213420,Q13148,P62913
213431,Q13867,P62913
213432,Q13867,P62913
213442,Q5S007,P62913
213507,Q9UGJ0,P62913
213530,O60260,P62917
213531,O60260,P62917
213532,O60260,P62917
213533,O60260,P62917
213534,O60260,P62917
213649,Q13148,P62917
213798,P35637,P62937
213849,Q6ZW49,P62937
213886,Q9UGJ0,P62937
213973,O60260,P62979
214051,P55072,P62979
214126,Q6ZW49,P62979
214188,Q9UGJ0,P62979
214417,P01023,P62993
214433,P04156,P62993
214435,P04626,P62993
214436,P04626,P62993
214437,P04626,P62993
214438,P04626,P62993
214439,P04626,P62993
214440,P04626,P62993
214441,P04626,P62993
214608,P21917,P62993
214609,P21917,P62993
214610,P21917,P62993
214611,P21917,P62993
214612,P22314,P62993
214724,P42858,P62993
214725,P42858,P62993
214757,P49768,P62993
214758,P49768,P62993
214765,P51587,P62993
214766,P51587,P62993
214778,P55072,P62993
214885,Q14203,P62993
214886,Q14203,P62993
215174,Q6ZW49,P62995
215203,Q9UGJ0,P62995
215224,O60260,P63000
215225,O60260,P63000
215250,P00441,P63000
215291,P28799,P63000
215292,P28799,P63000
215307,P42858,P63000
215308,P42858,P63000
215484,P04626,P63010
215594,O95292,P63027
215610,P37840,P63027
215657,Q5S007,P63027
215663,Q99497,P63027
215668,Q9NQ11,P63027
215669,Q9NQ11,P63027
216014,P10636,P63104
216015,P10636,P63104
216016,P10636,P63104
216017,P10636,P63104
216153,P35637,P63104
216217,P55072,P63104
216218,P55072,P63104
216389,Q6Y7W6,P63104
216464,Q99497,P63104
216580,P00441,P63146
216589,P22314,P63146
216773,Q6Y7W6,P63162
216804,O60260,P63165
216942,P37231,P63165
216943,P37231,P63165
216951,P42858,P63165
216952,P42858,P63165
216982,P55072,P63165
217106,Q99497,P63165
217223,P37840,P63167
217274,Q14203,P63167
217529,Q9UGJ0,P63173
217643,P55072,P63208
217892,Q9Y3I1,P63208
217893,Q9Y3I1,P63208
217894,Q9Y3I1,P63208
217895,Q9Y3I1,P63208
217925,P00441,P63220
218064,P37840,P63241
218074,P55072,P63241
218120,Q9UGJ0,P63241
218303,P42858,P63244
218361,Q01959,P63244
218375,Q13148,P63244
218435,Q5S007,P63244
218449,Q6ZW49,P63244
218641,P00441,P63261
218852,Q5S007,P63261
218853,Q5S007,P63261
218854,Q5S007,P63261
219000,Q5S007,P63267
219104,P09936,P63279
219150,P22314,P63279
219174,P35637,P63279
219312,Q13867,P63279
219313,Q13867,P63279
219387,Q99497,P63279
219388,Q99497,P63279
219509,P04626,P67775
219520,P10636,P67775
219589,P37840,P67775
219598,P42858,P67775
219626,P55072,P67775
219627,P55072,P67775
219705,Q6ZW49,P67775
219887,P35637,P67809
219888,P35637,P67809
219989,Q6Y7W6,P67809
219990,Q6ZW49,P67809
220113,P04156,P67870
220152,P20226,P67870
220212,P49768,P67870
220221,P55072,P67870
220222,P55072,P67870
220334,Q6ZW49,P67870
220441,O60260,P67936
220507,P03950,P68032
220526,P37840,P68032
220565,Q99497,P68032
220580,O60260,P68036
220581,O60260,P68036
220582,O60260,P68036
220601,P22314,P68036
220602,P22314,P68036
220603,P22314,P68036
220721,O43464,P68104
220727,O60260,P68104
220855,P35637,P68104
220857,P37840,P68104
220858,P37840,P68104
220859,P37840,P68104
221018,Q16637,P68104
221019,Q16637,P68104
221020,Q16637,P68104
221095,Q99497,P68104
221164,Q9UGJ0,P68104
221195,O43464,P68133
221198,O60260,P68133
221199,O60260,P68133
221259,P37840,P68133
221260,P37840,P68133
221337,Q5S007,P68133
221369,Q99497,P68133
221425,P01023,P68363
221438,P10636,P68363
221456,P35637,P68363
221457,P37840,P68363
221463,P49768,P68363
221483,Q13148,P68363
221500,Q5S007,P68363
221557,O60260,P68366
221599,P10636,P68366
221793,Q9UGJ0,P68366
221830,O60260,P68371
221901,P20226,P68371
221903,P22314,P68371
221970,P55072,P68371
222191,Q9UGJ0,P68371
222270,P04156,P68400
222299,P12821,P68400
222334,P21675,P68400
222375,P37840,P68400
222493,Q6ZW49,P68400
222597,O60260,P68402
222705,P21675,P68431
222713,P42858,P68431
222714,P42858,P68431
222781,Q5S007,P68431
222783,Q6ZW49,P68431
222846,P55072,P68543
222982,P04626,P78314
222983,P04626,P78314
223013,Q13148,P78316
223038,P20226,P78317
223153,P42858,P78324
223419,Q5S007,P78347
223443,Q9UGJ0,P78347
223478,O60260,P78352
223489,P04626,P78352
223638,Q96Q42,P78352
223890,P49768,P78368
223928,O60260,P78371
224015,P35637,P78371
224050,P55072,P78371
224253,Q9UGJ0,P78371
224371,O60260,P78396
224566,Q9UGJ0,P78417
224875,Q5S007,P78527
224876,Q5S007,P78527
224928,Q9BXM7,P78527
224950,Q9UGJ0,P78527
225173,Q9UGJ0,P78559
225410,P42858,P80723
225520,Q13148,P81605
225616,O60260,P82650
225636,Q13148,P82650
225789,O60260,P82914
225851,Q13148,P82930
225972,Q6ZW49,P83111
225979,Q16637,P83369
225980,Q16637,P83369
226062,P55072,P83731
226107,Q5S007,P83731
226139,Q99497,P83731
226240,O60260,P83916
226253,P09936,P83916
226254,P09936,P83916
226520,P37231,P84022
226545,P51587,P84022
226546,P51587,P84022
226642,Q8WXH2,P84022
226749,O60733,P84077
226848,P49768,P84085
226943,Q16637,P84090
226944,Q16637,P84090
226949,Q6ZW49,P84090
227049,P37840,P84098
227094,Q13148,P84098
227110,Q5S007,P84098
227185,O60260,P84103
227218,P55072,P84103
227270,Q16637,P84103
227340,P35637,P84243
227355,Q5S007,P84243
227403,P35637,P84996
227511,P04626,P98077
227685,P28799,P98160
227686,P28799,P98160
227687,P28799,P98160
227832,O43464,P98170
227833,O43464,P98170
227834,O43464,P98170
227835,O43464,P98170
227836,O43464,P98170
227995,P04626,P98172
228004,P49768,P98172
228200,P00441,P98194
228297,P37840,P99999
228420,Q16637,Q00013
228421,Q16637,Q00013
228513,O60260,Q00325
228528,P04626,Q00325
228547,P35637,Q00325
228549,P42858,Q00325
228625,Q9UGJ0,Q00325
228650,P04626,Q00341
228666,P55072,Q00341
228763,P20226,Q00403
228764,P20226,Q00403
228765,P20226,Q00403
228766,P20226,Q00403
228767,P20226,Q00403
228768,P20226,Q00403
228769,P20226,Q00403
228966,P09936,Q00534
229102,O60260,Q00535
229104,P00441,Q00535
229105,P00441,Q00535
229118,P09936,Q00535
229121,P10636,Q00535
229160,P49768,Q00535
229161,P49768,Q00535
229325,Q13148,Q00577
229352,P55072,Q00587
229487,P04626,Q00610
229488,P04626,Q00610
229565,P37840,Q00610
229566,P37840,Q00610
229567,P42858,Q00610
229688,Q5S007,Q00610
229689,Q5S007,Q00610
229706,Q6ZW49,Q00610
229759,Q99497,Q00610
229800,Q9UGJ0,Q00610
229855,P20226,Q00613
229856,P21675,Q00613
230015,P55072,Q00653
230145,P37840,Q00722
230151,Q96QT4,Q00722
230231,Q9UGJ0,Q00796
230253,O60260,Q00839
230336,P35637,Q00839
230406,Q13148,Q00839
230424,Q16637,Q00839
230425,Q16637,Q00839
230512,Q9UGJ0,Q00839
230767,P20226,Q00987
230768,P20226,Q00987
230770,P21675,Q00987
230857,P55072,Q00987
231219,P00441,Q01082
231268,P37840,Q01082
231269,P37840,Q01082
231396,P00441,Q01085
231431,Q13148,Q01085
231432,Q13148,Q01085
231447,Q16637,Q01085
231527,P20226,Q01094
231547,P37231,Q01094
231676,O60260,Q01105
231719,P20226,Q01105
231720,P20226,Q01105
231844,O60260,Q01130
231865,P35637,Q01130
231867,P37840,Q01130
231916,Q6ZW49,Q01130
232011,P43354,Q01196
232392,P20226,Q01518
232393,P20226,Q01518
232394,P20226,Q01518
232589,P00441,Q01581
232687,P20226,Q01658
232688,P20226,Q01658
232753,P22314,Q01726
232795,Q13148,Q01780
232911,P00441,Q01813
233037,Q5S007,Q01813
233098,Q9UGJ0,Q01813
233319,P21675,Q01844
233334,P35637,Q01844
233428,Q16637,Q01844
233536,Q9UGJ0,Q01844
233681,O60260,Q01959
233687,P37840,Q01959
233688,P37840,Q01959
233689,P37840,Q01959
233690,P37840,Q01959
233694,Q01959,Q01959
233695,Q01959,Q01959
233753,Q96QT4,Q01970
233832,P20226,Q02078
234000,P37840,Q02156
234423,P49768,Q02410
234424,P49768,Q02410
234509,Q9UGJ0,Q02413
234549,P20226,Q02447
234693,P21675,Q02539
234785,P55072,Q02543
234813,Q13148,Q02543
234870,P20226,Q02548
234898,O60260,Q02556
234980,P42858,Q02556
235189,P00749,Q02750
235203,P04626,Q02750
235244,P37231,Q02750
235245,P37840,Q02750
235256,P55072,Q02750
235382,P42858,Q02779
235383,P42858,Q02779
235446,P10636,Q02790
235455,P37840,Q02790
235499,Q9UGJ0,Q02790
235500,Q9UGJ0,Q02790
235501,Q9UGJ0,Q02790
235560,Q9UGJ0,Q02809
235634,O60260,Q02878
235705,P55072,Q02878
235758,Q13148,Q02878
235771,Q16637,Q02878
236001,Q6ZW49,Q02962
236032,P42858,Q02978
236053,Q5S007,Q02978
236100,Q14203,Q03001
236187,P20226,Q03060
236292,Q5S007,Q03113
236387,P37231,Q03135
236571,P04626,Q03169
236645,P55072,Q03252
236654,Q5S007,Q03252
236712,P00749,Q03405
236713,P00749,Q03405
236714,P00749,Q03405
236781,Q9UGJ0,Q03426
237253,P20226,Q04206
237256,P21675,Q04206
237292,P35637,Q04206
237293,P35637,Q04206
237298,P37231,Q04206
237602,P55072,Q04323
237689,O43464,Q04637
237743,Q13148,Q04637
237772,Q9UGJ0,Q04637
237785,Q04656,Q04656
237791,Q9NQ11,Q04671
237792,Q9NQ11,Q04671
237813,P09936,Q04695
237814,P09936,Q04695
237872,P19404,Q04721
237876,P49768,Q04721
237877,P49768,Q04721
238070,Q16637,Q04724
238071,Q16637,Q04724
238072,Q16637,Q04724
238279,Q9UGJ0,Q04760
238328,O60260,Q04837
238335,P00441,Q04837
238361,P35637,Q04837
238463,O60260,Q04864
238509,P20226,Q04864
238510,P20226,Q04864
238718,O60260,Q04917
238798,P37840,Q04917
238799,P37840,Q04917
238800,P37840,Q04917
238826,P55072,Q04917
239175,P42858,Q05193
239233,Q5S007,Q05193
239318,P04626,Q05209
239418,P04626,Q05397
239714,Q5S007,Q05513
239853,P42858,Q05516
239912,Q16637,Q05516
239913,Q16637,Q05516
239914,Q16637,Q05516
240004,P55072,Q05519
240056,P35637,Q05586
240059,P49768,Q05586
240106,O60260,Q05639
240148,P55072,Q05639
240249,Q9UGJ0,Q05639
240298,P10636,Q05655
240337,P37840,Q05655
240518,Q99497,Q05940
240628,Q9NQ11,Q06055
240676,P04626,Q06124
240677,P04626,Q06124
240678,P04626,Q06124
240679,P04626,Q06124
240680,P04626,Q06124
240995,P00749,Q06187
241145,Q9UGJ0,Q06210
241222,Q9UGJ0,Q06265
241245,O60260,Q06323
241302,Q16637,Q06323
241303,Q16637,Q06323
241304,Q16637,Q06323
241348,P49768,Q06330
241462,P01023,Q06418
241562,P04156,Q06481
241590,Q92870,Q06481
241591,Q92870,Q06481
241592,Q92870,Q06481
241811,P00441,Q06609
241896,P51587,Q06609
241897,P51587,Q06609
241898,P51587,Q06609
241899,P51587,Q06609
241900,P51587,Q06609
241901,P51587,Q06609
241902,P51587,Q06609
241903,P51587,Q06609
242160,O60260,Q06830
242216,P35637,Q06830
242218,P37840,Q06830
242459,P35637,Q07020
242580,O60260,Q07021
242589,P00441,Q07021
242685,Q13148,Q07021
242777,Q9UGJ0,Q07021
242787,O60260,Q07065
242805,P35637,Q07065
242883,O95292,Q07157
242906,P19404,Q07157
243037,P42858,Q07617
243259,O60260,Q07687
243266,P28799,Q07687
243321,P37840,Q07812
243322,P37840,Q07812
243323,P55072,Q07812
243368,Q99497,Q07812
243396,O60260,Q07817
243434,P49768,Q07817
243527,O60260,Q07820
243685,P10636,Q07866
243699,P37840,Q07866
243700,P37840,Q07866
243832,P04626,Q07889
244229,O60260,Q07955
244355,Q6ZW49,Q07955
244654,P35637,Q08170
244683,Q6ZW49,Q08170
244723,O60260,Q08188
244755,P00441,Q08209
244791,P55072,Q08209
244986,Q13148,Q08211
245094,Q9UGJ0,Q08211
245550,Q9UGJ0,Q08380
245595,P35637,Q08431
245618,P37840,Q08495
245688,Q13148,Q08554
245860,P04626,Q08881
245861,P04626,Q08881
245862,P04626,Q08881
245876,P35637,Q08881
246030,Q9UGJ0,Q08945
246055,P21675,Q08999
246056,P21675,Q08999
246146,Q5S007,Q08AF3
246200,P10636,Q08AM6
246238,P55072,Q08AM6
