,SwissProt1,SwissProt2
21253,Q13148,O43395
21363,P55072,O43399
21404,P04156,O43414
21514,Q13148,O43432
21528,Q9UGJ0,O43432
21589,Q6ZW49,O43447
21640,P35637,O43463
21778,O43464,O43464
21779,O60260,O43464
22338,P51587,O43542
23002,P55072,O43615
23168,Q9UQN3,O43633
23197,P04626,O43639
23198,P04626,O43639
23560,O95292,O43681
23808,Q9UGJ0,O43684
23901,P55072,O43707
23993,P55072,O43709
24158,P28799,O43741
24191,Q9UGJ0,O43741
24361,P28799,O43765
24522,P37840,O43768
24523,P49768,O43768
24524,P49768,O43768
24564,P00441,O43776
24586,P22314,O43776
24660,Q9UGJ0,O43776
24669,P04156,O43781
24672,Q92673,O43781
24729,Q04656,O43791
24794,Q5S007,O43795
24795,Q5S007,O43795
24796,Q5S007,O43795
24858,P01023,O43809
24888,P35637,O43809
24889,P37840,O43809
24952,Q99497,O43809
24978,P42858,O43813
25011,Q6ZW49,O43815
25158,Q5S007,O43823
25159,Q5S007,O43823
25398,O60260,O43852
25909,P42858,O43920
25910,P43354,O43920
26056,P51587,O60216
26217,Q5S007,O60231
26334,Q9NQ11,O60238
26406,P37231,O60244
26488,Q5S007,O60256
26497,Q9UGJ0,O60256
26517,O60260,O60260
26518,O60260,O60260
26519,O60260,O60260
26520,O60260,O60260
26521,O60260,O60260
26524,P10636,O60260
26554,Q01959,O60260
26572,Q9BXM7,O60260
26659,P20226,O60264
26693,P55072,O60264
26694,P55072,O60264
27074,O43464,O60313
27075,O60260,O60313
27099,Q5S007,O60313
27240,Q99497,O60333
27278,P37231,O60337
27438,Q16637,O60341
27656,Q9UGJ0,O60341
27763,Q6ZW49,O60356
27858,Q16637,O60383
27859,Q16637,O60383
27860,Q16637,O60383
28015,O60260,O60488
28035,Q9UGJ0,O60488
28063,P55072,O60493
28072,Q6ZW49,O60493
28111,P04626,O60496
28112,P04626,O60496
28179,P01023,O60502
28197,Q6ZW49,O60502
28292,O60260,O60506
28342,P35637,O60506
28602,Q16637,O60551
28603,Q16637,O60551
28604,Q16637,O60551
28690,P51587,O60566
28691,P51587,O60566
28966,Q5S007,O60610
29117,O60260,O60671
29192,P04626,O60674
29193,P04626,O60674
29194,P04626,O60674
29195,P04626,O60674
29304,P55072,O60674
29544,P35637,O60688
29695,P37840,O60716
29699,P49768,O60716
29700,P49768,O60716
29703,P55072,O60716
29776,O60733,O60733
29798,P09936,O60739
29827,P35637,O60739
30208,O60260,O60784
30217,P55072,O60784
30247,O60260,O60812
30500,P55072,O60832
30550,Q6ZW49,O60832
30642,Q6ZW49,O60841
30723,Q99497,O60869
30832,P04626,O60884
31330,Q14203,O60925
31421,Q6ZW49,O60934
31700,P22314,O75069
31701,P22314,O75069
31830,Q9UGJ0,O75083
31940,P49768,O75116
